Step,FLOPs,CUDA Time (ms),CPU Time (ms),Memory (MB)
10,363207474996226,568083631.1826128,574030368.8041644,16719.22802734375
20,299007716303378,465780431.30921245,479812599.0382684,16719.22802734375
30,271341521949554,419381649.4636339,430611644.3178565,16719.22802734375
