Step,FLOPs,CUDA Time (ms),CPU Time (ms),Memory (MB)
10,48282524347989,82907427.8820329,106519607.41392756,8944.14111328125
20,62216111130633,107911196.22224873,142655237.119315,9724.3447265625
30,70593900651843,112581491.88615054,149336525.37220103,9731.28271484375
40,63538920002403,109652201.78519048,145513230.05205795,9256.1865234375
50,44534565877974,91231670.22890143,102472161.61239418,8569.55419921875
60,64905822503232,105165368.4780265,141315648.0938114,8517.53759765625
70,59923242419565,102609675.6466376,135918985.55181366,8732.5439453125
80,66140444116884,106894368.36673333,143179058.38918352,9159.0869140625
90,106618395593046,179424635.89526975,589535848.3431374,10143.9541015625
100,77604787672224,148627177.48600125,169858892.049292,9304.73779296875
110,60893302258863,103632268.58404846,137083271.70308298,9150.41796875
120,73415892911619,146869513.17849526,167682913.58261907,9126.1435546875
130,39860641197720,89737887.319518,101932052.25068359,9419.17626953125
140,84042457514838,156553176.66647288,174652685.12380764,9256.1865234375
150,31747413450864,56857688.82273338,72462747.6347423,9530.1474609375
160,71299398716787,114527688.2736812,153532617.31356555,9122.67578125
170,80470873561059,154100320.25263694,173661569.12107903,9115.740234375
180,64817635245114,105445019.6262345,142031099.18654045,10093.71875
190,70726181539020,113597345.95754062,152001340.975201,9084.5302734375
200,48282524347989,83168976.98833196,107104471.20109318,11028.82421875
210,75135544444920,147876279.36159557,166408120.63714552,9162.5546875
220,55425692255547,105984742.65503202,116597103.36354503,8453.38232421875
230,55734347658960,105498156.66902843,116467275.74792281,9604.705078125
240,52780074512007,104051241.65068683,115023049.40033957,9580.4306640625
250,60628740484509,103275987.944257,136617533.89470705,9396.63623046875
260,41403918214785,90922016.05502845,102456590.89440176,9061.9892578125
270,50002175881290,84264199.21014465,107471354.69980365,9167.7568359375
280,59041369838385,102071703.52898335,137003713.2325073,8834.84375
290,55425692255547,107069646.76246719,118615957.90463036,9049.24072265625
300,79985843641410,153809791.30643657,173507248.8224498,11750.388671875
310,60849208629804,103555143.33353594,136938728.36434633,8618.10546875
320,60584646855450,103421586.86204128,137034180.55628747,11446.1298828125
330,71740335007377,114392836.46378389,152403690.627719,9146.9501953125
340,66845942181828,107311409.47177939,143157338.5255056,9033.77685546875
350,77516600414106,148834439.66512284,170070515.80627665,8999.94970703125
360,43344037893381,91285467.6835799,102845076.39057347,9112.2724609375
370,53706040722246,104557333.74007466,115700172.58122818,9238.84765625
380,58159497257205,101463376.15873449,136322425.62277734,10509.8134765625
390,57674467337556,101201163.92326741,136862874.3778995,8800.166015625
400,44843221281387,91992232.8708561,103146757.95154835,12452.32763671875
