Step,FLOs,CUDA Time (ms),CPU Time (ms),Memory (MB)
3450,113937937520712,215828142.30208766,174984326.63020626,16709.41943359375
3500,120551981850762,232776915.21173376,190842803.97937575,14798.77001953125
3550,155121386882490,295166201.9997013,239947776.5703318,14874.24072265625
3600,135984751954212,258622639.38556275,210923909.01475042,15283.38427734375
3650,129194333108694,245475084.39162993,199268001.00260225,19791.88037109375
3700,122756663294112,233854777.39618504,191170718.0153044,19652.85205078125
3750,124873157479728,240821098.9557443,197134324.02517465,17329.08935546875
3800,134750130345936,257319374.8405604,209659135.56064028,18751.15283203125
3850,141099612902784,266510453.1764282,215583926.22239637,14175.12744140625
3900,152211207377268,283427920.25202423,230737678.7400388,19840.11083984375
3950,105031024489578,171798368.96439868,166731406.93470266,19807.76904296875
4000,126107779088004,240071840.71260396,196417120.18829557,18151.34326171875
4050,130076205686034,252455262.9936964,207873361.14528683,16093.72119140625
4100,130869891005640,248876669.9000058,204844714.8224337,16733.25244140625
4150,122933037809580,235333876.98701367,192536684.7714482,16193.02783203125
4200,129811643912832,244897739.67348543,198855129.98029026,15184.76513671875
4250,120904730881698,233315214.60063988,190991021.38221177,16085.77685546875
4300,156885132037170,294816090.1159435,238603361.9450842,14731.24072265625
4350,146302661109090,276964547.0491995,223566231.3179167,18564.4580078125
4400,121433854428102,231701236.7627621,189905176.24033228,20888.87255859375
4450,156091446717564,291604063.410868,236491565.1234289,14222.79345703125
4500,132986385191256,254441167.16456857,207654091.5432859,15096.68701171875
4550,100268912571942,162554380.29794553,157121782.8766389,17666.72900390625
4600,111115945273224,180393826.92918944,171297947.90761924,15582.22900390625
4650,129988018428300,252563495.14108682,207128521.66138124,19259.60009765625
4700,103796402881302,169025042.23230502,164337365.86088353,15442.86767578125
4750,137924871624360,261499168.59519827,212616384.64385778,14322.10009765625
4800,138453995170764,265207029.12722534,215235425.94728816,15565.41259765625
4850,209709299419836,388128837.10915595,323145057.6873268,16705.44775390625
4900,106177458840120,172864115.7066287,165256662.87639564,14862.32470703125
4950,160059873315594,265160772.81502646,252300299.46212316,17527.70068359375
5000,157237881068106,293096762.0845479,237537436.92910513,16200.97216796875
5050,306979844700438,566275030.5932807,463787660.70396686,20868.35986328125
5100,128577022304556,242593584.4712758,197686842.51935613,15466.13818359375
5150,151858458346332,287473212.0164486,233494092.0728666,16705.44775390625
5200,127695149727216,241780829.93744564,196758163.23101622,16208.91650390625
5250,156179633975298,293658396.1831831,237884772.60484064,16629.97314453125
5300,213236789729196,387020784.71349883,321605068.09827733,16224.80517578125
5350,150712023995790,283342123.3210338,230366599.92747188,19597.24169921875
5400,197363083337076,362480737.0473908,299168765.74978215,17595.22998046875
5450,209356550388900,395940303.6506823,328910738.54901516,16185.08349609375
5500,126107779088004,239725076.2473185,195393351.82520866,18759.09716796875
5550,114907997355786,215942641.5316367,174753174.8704459,16729.28076171875
5600,160941745892934,264925274.03844038,251878545.67047143,18151.34326171875
5650,226112129358360,421909900.8683032,348026769.3075564,17595.22998046875
5700,155915072202096,294185422.51997703,238687033.65623787,16208.91650390625
5750,130693516490172,251559757.69433433,207004040.15139592,14592.21240234375
5800,187045174182198,350508629.3969652,286291901.6170418,14850.40771484375
5850,112879690427904,210468955.94747174,171527703.95103973,16081.80419921875
5900,173552523748896,279533722.3223153,263562629.64099425,16419.44677734375
5950,126372340861206,242544615.91913965,197560629.54952604,17666.72900390625
6000,122315727005442,232080217.04118815,189661763.96635833,17670.70068359375
6050,132898197933522,251844883.14064083,206237292.49605006,19668.74072265625
6100,131487201809778,253606116.33518818,207541846.60983953,15060.93798828125
6150,118876423953816,232467210.84549382,190997528.7570985,17329.08935546875
6200,153093079954608,291102640.559872,236266737.5692856,14298.26708984375
6250,270293945483094,502159821.1722571,404316326.85544443,18151.34326171875
6300,177609137604660,286579143.35885745,277909448.6649168,16657.78125
6350,131222640036576,251417283.46878242,206516505.95372373,16089.74853515625
6400,140482302098646,266485815.66652548,215524914.26674554,14655.77001953125
6450,184134994676976,298427277.7275692,281552977.1144503,15466.13818359375
6500,160148060573328,259557118.4956162,247374224.7561428,15145.35595703125
6550,99827976283272,159751900.9834619,154792079.44551682,16208.91650390625
6600,112967877685638,213497799.46224535,172961194.04903466,19807.76904296875
6650,238193783667918,438390075.96434206,365004337.34733254,19840.11083984375
6700,141452361933720,269907514.8111032,218840473.71709234,19239.73974609375
6750,155650510428894,288942050.4804094,234441401.23566908,17273.47705078125
6800,141540549191454,269833978.34841377,218411618.7965659,17595.22998046875
6850,142422421768794,273241259.01397175,221727920.57869938,14874.24072265625
6900,123638535871452,233234215.4186559,190675444.17819056,15720.33056640625
6950,103972777396770,170214990.82052007,165466131.93624055,16185.08349609375
7000,117818176861008,217150197.25028253,174979577.92102435,16653.80615234375
7050,90921063252138,179140706.33059543,149104425.7254631,19652.85205078125
7100,127783336984950,242350352.47003233,197094464.76379317,16705.44775390625
7150,146390848366824,273832621.1138681,221296080.57963938,16228.77783203125
7200,143039732572932,269827070.3353886,219064021.93116468,18564.4580078125
7250,141540549191454,270728107.14664984,219598125.49990895,19668.74072265625
7300,148242780779238,282244094.84106535,230014985.94440985,14592.21240234375
7350,131839950840714,252260738.23992458,206536304.2882278,14206.90478515625
7400,135808377438744,261320853.09747732,292657438.978907,20888.87255859375
7450,125931404572536,240309713.92925364,196082831.21413463,16629.97314453125
7500,134397381315000,254857348.9897288,207602134.96491998,14858.35205078125
7550,99916163541006,159883046.07453173,155132423.78592533,16200.97216796875
7600,140658676614114,267255876.25466952,216184093.63095152,18751.15283203125
7650,129017958593226,243028745.2252778,196942811.5078791,18759.09716796875
7700,153974952531948,292913670.374369,237920232.1316297,15358.85498046875
7750,149212840614312,284305089.6937834,231548649.9682815,19259.60009765625
7800,130428954716970,250428783.75361443,205667395.36546636,17527.70068359375
7850,101150785149282,163124026.54899442,157247389.22952586,17424.42431640625
7900,138806744201700,264894540.52583233,214797304.99972862,16761.05810546875
7950,129635269397364,244315439.04764035,198274473.5316342,15104.63134765625
8000,119493734757954,230216489.6314012,188692741.08674303,17317.17333984375
8050,118876423953816,232692217.9846889,191260174.21154523,20868.35986328125
8100,117289053314604,217762200.27738178,175310985.06808025,18206.95654296875
8150,125225906510664,236990330.2222913,193483681.85855162,16077.83251953125
8200,140041365809976,264464491.98620754,214329387.3561964,17595.22998046875
8250,127430587954014,241057729.44471002,196444376.8834948,17607.14599609375
8300,120199232819826,230258243.63418224,188832680.43241754,16733.25244140625
8350,231844301111070,421678812.78929037,345013858.8116721,19803.79736328125
8400,139688616779040,262751110.9610027,212765371.87919593,16729.28076171875
8450,123109412325048,232464976.036965,190088419.3812017,13340.95458984375
8500,146479035624558,273843572.23015416,220783805.81641653,14810.68603515625
8550,148860091583376,282544335.0831892,230295286.13705283,14806.71435546875
8600,119229172984752,232689167.36181465,190899835.657951,14743.15771484375
8650,183253122099636,349142914.75452155,281698210.33392066,19597.24169921875
8700,134485568572734,255466590.86891907,207825294.8729815,17670.70068359375
8750,184575930965646,295393734.92803246,279068392.8341208,15423.47509765625
8800,157414255583574,294548279.1804982,238009710.03597218,16224.80517578125
8850,142510609026528,268019579.2862821,217609365.12155575,15136.41162109375
8900,185193241769784,289033380.66645765,275883127.6209637,16419.44677734375
8950,123109412325048,234865022.26606643,191393347.82846475,17678.64794921875
9000,130340767459236,251561280.8459703,206559253.76385844,19239.73974609375
9050,128841584077758,244382870.96110308,198680011.03408962,15582.22900390625
9100,159001626222786,259909001.98291424,248117775.37602663,14147.32275390625
9150,109087638345342,180855488.61827007,171828505.47425926,19597.24169921875
9200,153974952531948,292282707.19683444,236961929.72783673,14385.65771484375
9250,119670109273422,230994485.77463397,189285643.74071363,14334.01611328125
9300,134485568572734,253844931.5818284,206909932.24563366,19791.88037109375
