Step,FLOPs,CUDA Time (ms),CPU Time (ms),Memory (MB)
14100,76987476865398,39852842.31358682,170971794.84334746,11921.2236328125
14200,48062056202694,13426843.55446201,107468122.72720407,10634.65576171875
14300,88143165017325,24982544.626912236,194760796.78706467,10426.5849609375
14400,62833421937459,17008287.781160858,145662216.29295242,11446.1298828125
14500,64464886212642,14113220.821476752,142610859.96736303,11928.1591796875
14600,39375611278071,10422661.911728464,85714527.72921598,9712.2080078125
14700,64729447986996,14141991.164489968,142792764.35425586,9544.0185546875
14800,70020683474076,15194441.796556665,152390457.81263453,12460.47314453125
14900,69800215328781,15162096.95081255,152246232.97413233,10601.708984375
15000,49517145961641,13623342.812140632,108211042.29821096,9828.38037109375
15100,70990743313374,15411505.811579699,152925114.85906932,10414.447265625
15200,41756667247257,25617951.683031574,103049411.7652693,11527.62451171875
15300,50839954833411,14723835.982998967,114551552.84432313,11531.09228515625
15400,45548719346331,27079418.70271978,105670263.7051781,10046.8544921875
15500,78663034769640,40055951.22064485,171444161.24046436,11749.56640625
15600,74959169928684,40389548.58006342,168468696.4827412,10994.302734375
15700,53088729915420,29289562.04249772,115451541.29246086,10949.4248046875
15800,59614587016152,15669060.320968645,137083102.93471184,10658.93017578125
15900,76899289607280,39792459.16346235,170510751.40939137,9935.88330078125
16000,61863362098161,16159093.338932745,140151797.67503098,10903.5849609375
16100,61907455727220,15954011.82718645,137636458.59254333,12451.80419921875
16200,67242784843359,14602029.111741789,145286862.86181962,11290.078125
16300,51765921043650,28738954.276129622,114745846.31932428,10360.69482421875
16400,80074030899528,42989223.20573233,176251636.66759372,11023.646484375
16500,53529666206010,28972528.052543394,115499257.3035301,11028.82421875
16600,78266192108109,39953141.643981814,171441351.79166165,10646.79248046875
16700,53882415238482,29072422.172673114,115793052.25279006,11988.04345703125
16800,55161130481193,28897558.557397176,116598353.31857,10645.05908203125
16900,55072943223075,28855836.860166322,116509894.2318511,9166.51171875
17000,69712028070663,15151922.297821062,151817153.36237365,9807.57373046875
17100,59085463467444,15069738.920402382,137360521.58506,9805.84033203125
17200,40962981924195,25473803.5412152,102429368.70595159,9778.09814453125
17300,67066410327123,14521860.065419823,144067230.73336172,11897.05859375
17400,56483939352963,14712356.122450747,136369040.8034196,11056.44140625
17500,69800215328781,15189775.982613444,152038760.84850302,10076.1923828125
17600,57674467337556,14858840.141662352,136642835.7599063,10424.8505859375
17700,64023949922052,17349767.97924582,146858617.53634846,9949.7568359375
17800,52295044592358,29411890.705562938,115436442.37155688,10509.8134765625
17900,64508979841701,14193314.096591847,143977710.442664,11059.89599609375
18000,70990743313374,15430186.306478791,153235297.53998464,11740.8974609375
18100,60143710564860,15729296.417168256,137240165.54502523,10143.9541015625
18200,64023949922052,17324661.665243767,146894597.10143155,9518.0107421875
18300,60275991452037,15768176.174589401,137631991.96688387,11897.05859375
18400,67066410327123,14516880.784407562,143819670.94951686,9622.0458984375
18500,42726727086555,25656202.861438528,102710093.13713618,9599.5029296875
18600,68962436376660,15085098.905488908,151791046.5384574,11982.88818359375
